epoch,train_loss,val_loss,val_aic,lr
1,0.717628,1.325578,0.070887,1.00e-03
2,0.639731,11.425473,0.517160,1.00e-03
3,0.598908,0.636195,0.339720,1.00e-03
1,0.574205,0.570018,0.245150,1.00e-03
2,0.541545,0.517669,0.328158,1.00e-03
3,0.519737,0.500755,0.279980,1.00e-03
4,0.502349,0.488941,0.367607,1.00e-03
5,0.485403,0.462342,0.371645,1.00e-03
6,0.471666,0.450951,0.372229,1.00e-03
7,0.459828,0.443945,0.363720,1.00e-03
8,0.448063,0.445455,0.351636,1.00e-03
9,0.437565,0.430730,0.428612,1.00e-03
10,0.428180,0.421402,0.415625,1.00e-03
